sub_id,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7
004_182,3.1100258433716474,7.013708800359283,9.999433114692012,9.99987915479555,10.0,9.999999964730378,10.0
004_183,3.1207148919936407,7.050666481125476,9.999971303662948,9.99998204222267,-10.0,-9.999999998215818,-10.0
004_184,3.1156120123109408,7.028553654795525,9.999852521000975,9.999923037730126,-10.0,-9.999999987195393,-10.0
004_185,3.1126752850406754,7.0297168416751505,9.999768392826997,9.999722628506415,-10.0,-9.999999972945584,-10.0
004_186,3.105043935187054,6.999779119912227,9.99957419665611,9.999703528139388,-10.0,-9.999999934780291,-10.0
004_187,3.1125875856605547,7.023464882837263,9.999764441841403,9.999821835268508,-10.0,-9.999999945917489,-10.0
004_188,3.1204646118461774,7.045137670856727,9.99985504562325,9.999870169921026,-10.0,-9.999999961192382,-10.0
004_189,3.112404135680464,7.015902126108209,9.999432783069095,9.99956085958204,-10.0,-9.999999866498708,-10.0
004_19,3.1215270112749467,7.04685031332094,9.999988092502376,9.999981388415474,-10.0,-9.999999994602529,10.0
004_190,3.116836146165812,7.040657263412835,9.999921864198555,9.999898702814487,-10.0,-9.999999976239723,-10.0
